date,active_energy_in_kcal
17/10/2024,429.58
18/10/2024,798.05
19/10/2024,464.52
20/10/2024,873.32
21/10/2024,555.53
22/10/2024,1158
23/10/2024,861.18
24/10/2024,423.41
25/10/2024,837.54
26/10/2024,683.41
27/10/2024,519.03
28/10/2024,919.38
29/10/2024,936.45
30/10/2024,449.19
31/10/2024,288.42
01/11/2024,421.05
02/11/2024,941.6
03/11/2024,945.95
04/11/2024,758.15
05/11/2024,464.51
06/11/2024,805.58
07/11/2024,820.27
08/11/2024,938.1
09/11/2024,390.5
10/11/2024,630.81
11/11/2024,767.18
12/11/2024,766.11
13/11/2024,1268
14/11/2024,411.89
15/11/2024,855.43
16/11/2024,407.92
17/11/2024,1047
18/11/2024,522.29
19/11/2024,800.79
20/11/2024,756.75
21/11/2024,1033
22/11/2024,755.03
23/11/2024,886.58
24/11/2024,174.22
25/11/2024,343.25
26/11/2024,864.98
27/11/2024,388.4
28/11/2024,743.13
29/11/2024,814.4
30/11/2024,512.84
01/12/2024,800.95
02/12/2024,167.4
03/12/2024,701.16
04/12/2024,738.57
05/12/2024,412.7
06/12/2024,609.55
07/12/2024,156.05
08/12/2024,71.7
