date,walking_and_running_distance_in_km
16/10/2024,7.67
17/10/2024,7.52
18/10/2024,7.4
19/10/2024,7.53
20/10/2024,7.56
21/10/2024,8.81
22/10/2024,7.76
23/10/2024,7.48
24/10/2024,7.68
25/10/2024,7.4
26/10/2024,6.19
27/10/2024,7.64
28/10/2024,7.49
29/10/2024,7.24
30/10/2024,7.5
31/10/2024,4.41
01/11/2024,6.09
02/11/2024,7.43
03/11/2024,8.37
04/11/2024,7.24
05/11/2024,7.45
06/11/2024,7.42
07/11/2024,7.34
08/11/2024,7.35
09/11/2024,7.01
10/11/2024,4.08
11/11/2024,7.56
12/11/2024,9.04
13/11/2024,8.39
14/11/2024,7.39
15/11/2024,7.64
16/11/2024,7.43
17/11/2024,7.47
18/11/2024,4.17
19/11/2024,8.26
20/11/2024,7.67
21/11/2024,7.65
22/11/2024,7.92
23/11/2024,8.14
24/11/2024,1.47
25/11/2024,5.73
26/11/2024,7.38
27/11/2024,7.25
28/11/2024,7.27
29/11/2024,7.65
30/11/2024,8.56
01/12/2024,6.62
02/12/2024,1.45
03/12/2024,4.88
04/12/2024,8.86
05/12/2024,7.07
06/12/2024,6.55
07/12/2024,0.812
08/12/2024,0.519
